Time Stamp|SSID|BSSID|RSSI
2018-10-07 08:50:55.17|Telstra 2.4Ghz|c4:e9:84:8d:60:10|-93
2018-10-07 08:50:55.17|D-Link|a0:ab:1b:cd:f6:06|-93
2018-10-07 08:50:55.17|Fon WiFi|f6:6b:ef:c0:83:c1|-90
Time Stamp|SSID|BSSID|RSSI
2018-10-07 09:05:55.013|WiFi-7TRU|a4:ca:a0:57:da:10|-58
2018-10-07 09:05:55.013|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-72
2018-10-07 09:05:55.013|TelstraF28877|24:20:c7:f2:88:7d|-83
2018-10-07 09:05:55.013|WiFi-85B8|c4:71:54:d8:85:b8|-88
2018-10-07 09:05:55.013|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-88
2018-10-07 09:05:55.013|OPTUS_8090D7|18:90:d8:80:90:d8|-89
2018-10-07 09:05:55.013|Telstra 2.4Ghz|c4:e9:84:8d:60:10|-90
2018-10-07 09:05:55.013|TPG-9PYF|c4:05:28:f9:ca:44|-91
2018-10-07 09:05:55.013|TelstraC083BD|f4:6b:ef:c0:83:c3|-92
Time Stamp|SSID|BSSID|RSSI
2018-10-07 09:25:55.011|WiFi-7TRU|a4:ca:a0:57:da:10|-55
2018-10-07 09:25:55.011|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-75
2018-10-07 09:25:55.011|WiFi-85B8|c4:71:54:d8:85:b8|-84
2018-10-07 09:25:55.011|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-88
2018-10-07 09:25:55.011|OPTUS_8090D7|18:90:d8:80:90:d8|-89
2018-10-07 09:25:55.011|TelstraF28877|24:20:c7:f2:88:7d|-89
2018-10-07 09:25:55.011|TPG-9PYF|c4:05:28:f9:ca:44|-90
2018-10-07 09:25:55.011|TelstraC083BD|f4:6b:ef:c0:83:c3|-91
2018-10-07 09:25:55.011|Telstra 2.4Ghz|c4:e9:84:8d:60:10|-93
2018-10-07 09:25:55.011|Telstra Air|f6:6b:ef:c0:83:c0|-86
2018-10-07 09:25:55.011|Fon WiFi|f6:6b:ef:c0:83:c1|-88
Time Stamp|SSID|BSSID|RSSI
2018-10-07 09:35:55.005|WiFi-7TRU|a4:ca:a0:57:da:10|-56
2018-10-07 09:35:55.005|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-71
2018-10-07 09:35:55.005|TelstraF28877|24:20:c7:f2:88:7d|-84
2018-10-07 09:35:55.005|WiFi-85B8|c4:71:54:d8:85:b8|-86
2018-10-07 09:35:55.005|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-86
2018-10-07 09:35:55.005|TPG-9PYF|c4:05:28:f9:ca:44|-87
2018-10-07 09:35:55.005|TelstraC083BD|f4:6b:ef:c0:83:c3|-90
2018-10-07 09:35:55.005|Fon WiFi|f6:6b:ef:c0:83:c1|-89
2018-10-07 09:35:55.005|Telstra Air|f6:6b:ef:c0:83:c0|-90
Time Stamp|SSID|BSSID|RSSI
2018-10-07 09:50:54.91|WiFi-7TRU|a4:ca:a0:57:da:10|-63
2018-10-07 09:50:54.91|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-73
2018-10-07 09:50:54.91|WiFi-85B8|c4:71:54:d8:85:b8|-85
2018-10-07 09:50:54.91|TelstraC083BD|f4:6b:ef:c0:83:c3|-89
2018-10-07 09:50:54.91|TPG-9PYF|c4:05:28:f9:ca:44|-91
2018-10-07 09:50:54.91|Fon WiFi|f6:6b:ef:c0:83:c1|-91
2018-10-07 09:50:54.91|Telstra Air|f6:6b:ef:c0:83:c0|-89
2018-10-07 09:50:54.91|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-88
2018-10-07 09:50:54.91|TelstraF28877|24:20:c7:f2:88:7d|-85
2018-10-07 09:50:54.91|OPTUS_8090D7|18:90:d8:80:90:d8|-93
Time Stamp|SSID|BSSID|RSSI
2018-10-07 10:08:25.768|WiFi-7TRU|a4:ca:a0:57:da:10|-55
2018-10-07 10:08:25.768|WiFi-7TRU-5G|a4:ca:a0:57:da:14|-69
2018-10-07 10:08:25.768|WiFi-85B8|c4:71:54:d8:85:b8|-89
2018-10-07 10:08:25.768|TelstraF28877|24:20:c7:f2:88:7d|-88
2018-10-07 10:08:25.768|TelstraC083BD|f4:6b:ef:c0:83:c3|-96
2018-10-07 10:08:25.768|TPG-9PYF|c4:05:28:f9:ca:44|-90
2018-10-07 10:08:25.768|Telstra 2.4Ghz|c4:e9:84:8d:60:10|-90
2018-10-07 10:08:25.768|Telstra Air|f6:6b:ef:c0:83:c0|-87
2018-10-07 10:08:25.768|Fon WiFi|f6:6b:ef:c0:83:c1|-90
2018-10-07 10:08:25.768|OPTUS_D2E9F3|f8:ab:05:d2:e9:f4|-83
2018-10-07 10:08:25.768|OPTUSVD39FAA40|10:0d:7f:dd:59:61|-90
